gene_name,num_cell_types
RPS12,1
RPS118,1
RNU2,1
RORA,1
RORC,1
RP11-1143G9.4,1
RP11-234A1.110,1
RP11-386I14.46,1
RP11-543P15.17,1
RP11-620J15.3,1
RPA3,1
RPEL1,1
RPIA,1
RPL139,1
RPL13A8,1
RPL13AP253,1
RPL14,1
RPL18,1
RPL218,1
RPL23A8,1
RPL27A9,1
RPL30,1
RPL32,1
RPL347,1
RPL358,1
RPL37A9,1
RPL67,1
RPLP0,1
RPN1,1
SRP142,1
SRPRA,1
IL10RA,1
UBXN11,1
TYMS,1
U2AF1L2,1
UBA5,1
UBB,1
UBB5,1
UBD,1
UBE2C,1
UBE2D1,1
UBE2F,1
UBE2G1,1
UBE2S,1
UBE2T,1
UBQLN2,1
UCHL1,1
TXNIP,1
UCP24,1
UFM1,1
UGT2B15,1
UHRF1,1
UNC13D,1
UNC93B1,1
UPK3A,1
UPP1,1
UQCC2,1
UQCR11.1,1
USF2,1
USP11,1
USP18,1
TXNRD1,1
TXN5,1
USP28,1
TSPAN3,1
TRERF1,1
TRGC1,1
TRGC2,1
TRIM16,1
TRIM25,1
TRIM74,1
TRMT1,1
TRRAP,1
TSBF1,1
TSEN34,1
TSEN54,1
TSPAN13,1
TSPAN14,1
TSPAN32,1
TUT7,1
TSPO,1
TTC16,1
TTC24,1
TTC38,1
TTC39C,1
TTN,1
TTR,1
TTYH2,1
TTYH3,1
TUBB,1
TUBB6,1
TULP4,1
TUT4,1
USP24,1
VAC14,1
SRSF2,1
ZFAND5,1
XCR1,1
XPO6,1
YPEL1,1
YPEL2,1
ZBED2,1
ZBP1,1
ZBTB33,1
ZC3HAV1,1
ZDHHC17,1
ZDHHC18,1
ZDHHC4,1
ZEB1,1
ZEB2-AS1,1
ZFAS1,1
WTAP,1
ZFAT,1
ZFYVE16,1
ZFYVE26,1
ZNF137,1
ZNF366,1
ZNF367,1
ZNF506,1
ZNF527,1
ZNF600,1
ZNF620,1
ZNF789,1
ZNFX1,1
ZNRF1,1
XCL2,1
WSB1,1
VAMP1,1
VPREB3,1
VAMP5,1
VAMP82,1
VASH1,1
VASP,1
VAV3,1
VCL,1
VECAD,1
VEG1,1
VEGFB,1
VEZF1,1
VIMENTIN,1
VIPR1,1
VIPR2,1
VPS53,1
WNT5A,1
VSIG4,1
VTN,1
VWF,1
WARS,1
WDFY4,1
WDR11,1
WDR37,1
WDR4,1
WDR43,1
WDR83OS,1
WFDC2,1
WHAMMP3,1
WNT10A,1
TREM2,1
TRDV2,1
TRDMT1,1
TBC1D9,1
SYNE2,1
SYS1,1
SYT11,1
SYTL1,1
T2BP,1
TACC1,1
TAF4B,1
TALDO1,1
TASP1,1
TATDN3,1
TAX1BP3,1
TBC1D13,1
TBC1D8,1
TBCB,1
SWAP70,1
TBCC,1
TBCD,1
TCF19,1
TCF4,1
TCF7L2,1
TCL6,1
TEK,1
TESC,1
TESPA1,1
TEX2,1
TFEC,1
TFPI2,1
TGFBR1,1
SYNE1,1
SUZ12P1,1
TRDC,1
STING1,1
SSH2,1
SSR42,1
ST3GAL2,1
ST3GAL4,1
ST6GALNAC4,1
STAB1,1
STAG3L1,1
STAG3L3,1
